Contractor Name,Contract ID,Purpose,Value of Sandy Funding,Sandy Spending to Date,Current Start Date,Current End Date,Original Start Date,Original End Date,Procurement Method,Estimated Job Creation
"VALES CONSTRUCTION CORPORATION","CT185020131411521","CONSTRUCTION","1869490","1869490","05-Nov-12","04-Nov-13","05-Nov-12","04-Nov-13","EMERGENCY","11"
"VALLO TRANSPORTATION LTD","CT107120111403242","PROGRAMS","344209","336547","01-Oct-10","30-Sep-13","01-Oct-10","30-Sep-13","COMPETITIVE SEALED BIDDING","7"
"VERINT TECHNOLOGY INC","CT190120111450552","SUPPLIES/MATERIALS/EQUIPMENT","282804","273915","13-Jun-11","30-Jun-14","13-Jun-11","23-Dec-11","SOLE SOURCE","1"
"VERIZON SELECT SERVICES INC","CT185820080016224","WORK/LABOR","368357","81750","01-Jun-07","30-Nov-13","01-Jun-07","31-May-12","INTERGOVERNMENTAL PROCUREMENT","2"
"VORNADO 330 W 34TH ST LLC MCR MANAEMENT LLC - AGENT","CT185699M7410","LESSEE","3814940","3594808","21-Mar-12","20-Mar-17","21-Mar-97","20-Mar-12","LESSEE NEGOTIATION","10"
"WASTE MANAGEMENT OF NEW YORK, LLC","CT101720131422537","WORK/LABOR","124690","124690","05-Nov-12","10-Nov-12","05-Nov-12","10-Nov-12","EMERGENCY","1"
"WDF INC","CT182620121437460","CONSTRUCTION","6000000","4199131","25-May-12","25-May-14","30-Apr-12","30-Apr-14","COMPETITIVE SEALED BIDDING","14"
"WDF INC","CT182620050021866","CONSTRUCTION","328100","302673","17-Jan-05","31-Dec-14","03-Feb-05","17-Feb-10","COMPETITIVE SEALED BIDDING","2"
"WDF INC","CT182620131420417","REQUIREMENTS-SERVICES","1195740","1041348","31-Oct-12","31-May-13","31-Oct-12","02-Feb-13","EMERGENCY","6"
"WELSBACH ELECTRIC CORP","CT182620131409767","CONSTRUCTION","9240782","7642798","17-Jan-05","31-Dec-14","17-Jan-05","31-Dec-12","ASSIGNMENT","40"
"WELSBACH ELECTRIC CORP","CT182620131418858","REQUIREMENTS-SERVICES","2257000","1808446","31-Oct-12","31-Aug-13","31-Oct-12","31-Jan-13","EMERGENCY","11"
"WHITSONS FOOD SERVICE BRONX CORP","CT106920131413568","PROGRAMS","4888225","4540000","10-Nov-12","03-Dec-12","10-Nov-12","03-Dec-12","EMERGENCY","97"
"WOMEN IN NEED, INC.","CT107120131419637","PROGRAMS","310883","310883","06-Nov-12","23-Dec-12","06-Nov-12","23-Dec-12","EMERGENCY","7"
"WW GRAINGER INC","DO185720131327813","","200152","200152","30-Aug-13","30-Aug-13","","","","1"
"WW GRAINGER INC","DO185720151520719","","154442","146760","05-Feb-15","05-Feb-15","","","","1"
"WW GRAINGER INC","DO185720131325893","","464687","464687","19-Apr-13","19-Apr-13","","","","3"
"WW GRAINGER INC","DO185720141425761","","107682","107682","23-Oct-13","23-Oct-13","","","","1"
"YSI INC","DO185720131327957","","256971","256971","17-Aug-13","17-Aug-13","","","","2"

